2;2                                  0              
2;2                                  0              ;2                                                 
2;2                                  0              ;2                                                 ;2                    7                           5
2;2                                  0              ;2                                                 ;2                    7                           5
82   70                      46             0   6 ;82   70                       46          5  0    ;82   700           8             76 4         0   ;82   700            8             6 4         0   ;82   70                      46             0   6 
82   70                      46             0   6 ;82   70                       46          5  0    ;82   700            8             6 4         0   ;82   70                      46             0   6 ;82   70                      46      9       0   6
82   70                      46             0   6 ;82   700            8             6 4         0   ;82   70                      46             0   6 ;82   70                      46      9       0   6;82   70                       46             0   6
82   700            8             6 4         0   ;82   70                      46             0   6 ;82   70                      46      9       0   6;82   70                       46             0   6;82   700            8             6 4         0   
82   700            8             6 4         0   ;82   70                      46             0   6 ;82   70                       46             0   6;82   700            8             6 4         0   ;82   700            8              6 4         0  
82   700            8             6 4         0   ;82   70                       46             0   6;82   700            8             6 4         0   ;82   700            8              6 4         0  ;82   700           8             6 4         0   5
82   70                       46             0   6;82   700            8             6 4         0   ;82   700            8              6 4         0  ;82   700           8             6 4         0   5;82   70                       46              0   
82   70                       46             0   6;82   700            8              6 4         0  ;82   700           8             6 4         0   5;82   70                       46              0   ;82    70                       46              0  
82   700            8              6 4         0  ;82   700           8             6 4         0   5;82   70                       46              0   ;82    70                       46              0  ;892  700            8              6 4         0  
82   700            8              6 4         0  ;82   700           8             6 4         0   5;82   70                       46              0   ;82    70                       46              0  ;82   700       3    8               6 4         0 
82   700            8              6 4         0  ;82   70                       46              0   ;82    70                       46              0  ;82   700       3    8               6 4         0 ;82   6700           8              6 4         0  
82   700            8              6 4         0  ;82    70                       46              0  ;82   700       3    8               6 4         0 ;82   6700           8              6 4         0  ;82   700            8              6 4         0  
82   700            8              6 4         0  ;82   700       3    8               6 4         0 ;82   6700           8              6 4         0  ;82   700            8              6 4         0  ;82   700            8            1  6 4         0 
82   700       3    8               6 4         0 ;82   6700           8              6 4         0  ;82   700            8              6 4         0  ;82   700            8            1  6 4         0 ;82   700       3    8               6 4         0 
82   6700           8              6 4         0  ;82   700            8              6 4         0  ;82   700            8            1  6 4         0 ;82   700       3    8               6 4         0 ;82 0  6700           8              6 4         0 
82   700            8              6 4         0  ;82   700            8            1  6 4         0 ;82   700       3    8               6 4         0 ;82 0  6700           8              6 4         0 ;82   700            8              6 4         0  
82   700            8              6 4         0  ;82   700       3    8               6 4         0 ;82 0  6700           8              6 4         0 ;82   700            8              6 4         0  ;82   700            8              6 4         0  
82   700            8              6 4         0  ;82   700       3    8               6 4         0 ;82 0  6700           8              6 4         0 ;82   700            8              6 4         0  ;82   700            8              6 42         0 
82   700            8              6 4         0  ;82   700       3    8               6 4         0 ;82   700            8              6 42         0 ;82   700              9         8   6 4         0 
82   700            8              6 4         0  ;82   700       3    8               6 4         0 ;82   700            8              6 42         0 ;82   700              9         8   6 4         0 ;82   700            8              6 4          0 
82   700       3    8               6 4         0 ;82   700            8              6 42         0 ;82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82  700       3    8               6 4         0  
82   700            8              6 42         0 ;82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82  700       3    8               6 4         0  ;82   700            8              6 42      0   0
82   700            8              6 42         0 ;82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82  700       3    8               6 4         0  ;82    700            8              6 42         0
82   700            8              6 42         0 ;82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82    700            8              6 42         0;82   700            8               6 42         0
82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82    700            8              6 42         0;82   700            8               6 42         0;82   700              9         8   6  4        0 
82   700              9         8   6 4         0 ;82   700            8              6 4          0 ;82   700            8               6 42         0;82   700              9         8   6  4        0 ;82   700    7          9         8   6 4         0
82   700              9         8   6 4         0 ;82   700            8               6 42         0;82   700              9         8   6  4        0 ;82   700    7          9         8   6 4         0;82   700              9         38   6 4         0
82   700            8               6 42         0;82   700              9         8   6  4        0 ;82   700    7          9         8   6 4         0;82   700              9         38   6 4         0;82   700            8               6 42     8    
82   700              9         8   6  4        0 ;82   700    7          9         8   6 4         0;82   700              9         38   6 4         0;82   700            8               6 42     8    ;82   700              9        8   6  4       0   
82   700              9         8   6  4        0 ;82   700              9         38   6 4         0;82   700            8               6 42     8    ;82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 
82   700              9         38   6 4         0;82   700            8               6 42     8    ;82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 ;882   700              9         38   6 4        3
82   700            8               6 42     8    ;82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 ;882   700              9         38   6 4        3;82   700   1        9 8               6 42     8  
82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 ;882   700              9         38   6 4        3;82   700   1        9 8               6 42     8  ;82   700              9        8   6  4       0   
82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 ;82   700   1        9 8               6 42     8  ;82   700              9        8   6  4       0   ;82   700              9  6      8   6  4 5      0 
82   700              9        8   6  4       0   ;82   700              9          8  6  4        0 ;82   700   1        9 8               6 42     8  ;82   700              9  6      8   6  4 5      0 ;82   700            9  9        88   6  4       0 
82   700              9          8  6  4        0 ;82   700   1        9 8               6 42     8  ;82   700              9  6      8   6  4 5      0 ;82   700            9  9        88   6  4       0 ;82   700              9          8  6  4    8    0
