2;2                                  0              
2;2                                  0              ;2                                                 
2;2                                  0              ;2                                                 ;2                    7                           5
2;2                                  0              ;2                                                 ;2                    7                           5
7511418313118479 5 52 823883 5  0277  99300032 480;75114183131184749 5 52 8232883 5  0277  9300032480;7511418313118479 5 52 823883 5  0277  99300032 480;75114183118479 5 592 823883 5  0277  99300032 480 ;7511418313118479 5 52 823883 5   0277  9930000032 
7511418313118479 5 52 823883 5  0277  99300032 480;7511418313118479 5 52 823883 5  0277  99300032 480;75114183118479 5 592 823883 5  0277  99300032 480 ;7511418313118479 5 52 823883 5   0277  9930000032 ;7511418313118479 5 52 823883 5  0277  993002032 48
7511418313118479 5 52 823883 5  0277  99300032 480;7511418313118479 5 52 823883 5  0277  99300032 480;7511418313118479 5 52 823883 5   0277  9930000032 ;7511418313118479 5 52 823883 5  0277  993002032 48;7511418313118479 5 52 823883   0277  99300032 480 
7511418313118479 5 52 823883 5  0277  99300032 480;7511418313118479 5 52 823883 5  0277  99300032 480;7511418313118479 5 52 823883 5   0277  9930000032 ;7511418313118479 5 52 823883 5  0277  993002032 48;7511418313118479 5 52 8238837 5  0277  99300032 48
7511418313118479 5 52 823883 5  0277  99300032 480;7511418313118479 5 52 823883 5  0277  99300032 480;7511418313118479 5 52 823883 5   0277  9930000032 ;7511418313118479 5 52 8238837 5  0277  99300032 48;75114183131184791 5 52 823883 5  0277  99300032 48
7511418313118479 5 52 823883 5  0277  99300032 480;7511418313118479 5 52 823883 5   0277  9930000032 ;7511418313118479 5 52 8238837 5  0277  99300032 48;75114183131184791 5 52 823883 5  0277  99300032 48;7511418313118479 5 52 823883 5  0277  99300032 480
7511418313118479 5 52 823883 5   0277  9930000032 ;7511418313118479 5 52 8238837 5  0277  99300032 48;75114183131184791 5 52 823883 5  0277  99300032 48;7511418313118479 5 52 823883 5  0277  99300032 480;751141833118479 5 52 823883 5   0277  9930000032  
7511418313118479 5 52 8238837 5  0277  99300032 48;75114183131184791 5 52 823883 5  0277  99300032 48;7511418313118479 5 52 823883 5  0277  99300032 480;751141833118479 5 52 823883 5   0277  9930000032  ;4751118313118479 5 52 8238837 5  0277  99300032 48
7511418313118479 5 52 8238837 5  0277  99300032 48;7511418313118479 5 52 823883 5  0277  99300032 480;751141833118479 5 52 823883 5   0277  9930000032  ;4751118313118479 5 52 8238837 5  0277  99300032 48;75114831311879 5 52 8238837 5  50277  99300032 48 
7511418313118479 5 52 823883 5  0277  99300032 480;751141833118479 5 52 823883 5   0277  9930000032  ;4751118313118479 5 52 8238837 5  0277  99300032 48;75114831311879 5 52 8238837 5  50277  99300032 48 ;7511418313118479 5 52 8 23883 5  0277  99300032 48
751141833118479 5 52 823883 5   0277  9930000032  ;4751118313118479 5 52 8238837 5  0277  99300032 48;75114831311879 5 52 8238837 5  50277  99300032 48 ;7511418313118479 5 52 8 23883 5  0277  99300032 48;7511418331138479 5 52 823883 5   0277  9930000032 
751141833118479 5 52 823883 5   0277  9930000032  ;4751118313118479 5 52 8238837 5  0277  99300032 48;75114831311879 5 52 8238837 5  50277  99300032 48 ;7511418331138479 5 52 823883 5   0277  9930000032 ;75141833118479 5 52 823883 5   0277  93000032     
4751118313118479 5 52 8238837 5  0277  99300032 48;75114831311879 5 52 8238837 5  50277  99300032 48 ;7511418331138479 5 52 823883 5   0277  9930000032 ;75141833118479 5 52 823883 5   0277  93000032     ;4751118313118479 5 521 8238837 5  0277  99300032 4
4751118313118479 5 52 8238837 5  0277  99300032 48;75114831311879 5 52 8238837 5  50277  99300032 48 ;75141833118479 5 52 823883 5   0277  93000032     ;4751118313118479 5 521 8238837 5  0277  99300032 4;4751118313118479 5 52 8238837 5  0277  909300032 4
4751118313118479 5 52 8238837 5  0277  99300032 48;75141833118479 5 52 823883 5   0277  93000032     ;4751118313118479 5 521 8238837 5  0277  99300032 4;4751118313118479 5 52 8238837 5  0277  909300032 4;4751118313118479 5 52 823887 5  0277  99300032 48 
4751118313118479 5 52 8238837 5  0277  99300032 48;75141833118479 5 52 823883 5   0277  93000032     ;4751118313118479 5 52 8238837 5  0277  909300032 4;4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 828837 5  0277  99300032 48 
4751118313118479 5 52 8238837 5  0277  99300032 48;4751118313118479 5 52 8238837 5  0277  909300032 4;4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 828837 5  0277  99300032 48 ;4751118313118479 5 52 8238837 53  0277  99300032 4
4751118313118479 5 52 8238837 5  0277  909300032 4;4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 828837 5  0277  99300032 48 ;4751118313118479 5 52 8238837 53  0277  99300032 4;4751118313118479 5 52 8238837 5  0277  90930032 4 
4751118313118479 5 52 8238837 5  0277  909300032 4;4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 828837 5  0277  99300032 48 ;4751118313118479 5 52 8238837 53  0277  99300032 4;4751118313118479 5 52 8238837 5  077  90930032 4  
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 828837 5  0277  99300032 48 ;4751118313118479 5 52 8238837 53  0277  99300032 4;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 2 823887 5  02777  949300032 48
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8238837 53  0277  99300032 4;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 2 823887 5  02777  949300032 48;4751118313118479 5 52 8023887   0277  99300032 48 
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 2 823887 5  02777  949300032 48;4751118313118479 5 52 8023887   0277  99300032 48 ;41751118313118479 5 52 1823887 5  0277  99300032 4
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 2 823887 5  02777  949300032 48;4751118313118479 5 52 8023887   0277  99300032 48 ;4751118313118479 5 52 823887 5  0277  9930 0032 48
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 2 823887 5  02777  949300032 48;4751118313118479 5 52 823887 5  0277  9930 0032 48;47151118313118479 5 52 823887 5  0277  99300032 43
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 52 823887 5  0277  9930 0032 48;47151118313118479 5 52 823887 5  0277  99300032 43;4751118313118479 5 52 823887 5  0277  99300032 48 
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 52 823887 5  0277  9930 0032 48;4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8230887 5  0277  99300032 48
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8230887 5  0277  99300032 48;4751118313118479 5 529 823887 5  0277  99300032 48
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 52 8230887 5  0277  99300032 48;4751118313118479 5 529 823887 5  0277  99300032 48;4751118313118479 5 952 5823887 5  0277  9930002 48
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 52 8230887 5  0277  99300032 48;4751118313118479 5 529 823887 5  0277  99300032 48;4751118313118479 5 523 823887 5  0277  99300032 48
4751118313118479 5 52 823887 5  0277  99300032 48 ;4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 52 8230887 5  0277  99300032 48;4751118313118479 5 523 823887 5  0277  99300032 48;47511 818313118479 5 52 823887 5  0277  99300032 4
4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 52 8230887 5  0277  99300032 48;4751118313118479 5 523 823887 5  0277  99300032 48;47511 818313118479 5 52 823887 5  0277  99300032 4;4751118313118479 5 52 8238837 5  077   9090032 4  
4751118313118479 5 52 8238837 5  077  90930032 4  ;4751118313118479 5 523 823887 5  0277  99300032 48;47511 818313118479 5 52 823887 5  0277  99300032 4;4751118313118479 5 52 8238837 5  077   9090032 4  ;47511183131198479 5 852 8238837 5  077  90930032 4
4751118313118479 5 52 8238837 5  077  90930032 4  ;47511 818313118479 5 52 823887 5  0277  99300032 4;4751118313118479 5 52 8238837 5  077   9090032 4  ;47511183131198479 5 852 8238837 5  077  90930032 4;4751118313118479 5 52 823883 5  077  90930032 4   
47511 818313118479 5 52 823887 5  0277  99300032 4;4751118313118479 5 52 8238837 5  077   9090032 4  ;47511183131198479 5 852 8238837 5  077  90930032 4;4751118313118479 5 52 823883 5  077  90930032 4   ;47511 818313118479 5 252 823887 5  0277  993007032
47511 818313118479 5 52 823887 5  0277  99300032 4;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 823883 5  077  90930032 4   ;47511 818313118479 5 252 823887 5  0277  993007032;47511 818313118479 5 52 823887 5  0277 7 99300032 
47511 818313118479 5 52 823887 5  0277  99300032 4;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 823883 5  077  90930032 4   ;47511 818313118479 5 52 823887 5  0277 7 99300032 ;47511 818313118479 5 52 823887 5  0277  993000324 
4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 823883 5  077  90930032 4   ;47511 818313118479 5 52 823887 5  0277 7 99300032 ;47511 818313118479 5 52 823887 5  0277  993000324 ;4751118313118479 5 52 8238837 5  077   9090032 4  
4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 823883 5  077  90930032 4   ;47511 818313118479 5 52 823887 5  0277 7 99300032 ;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 82318837 5  077   9090032 4 
4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 823883 5  077  90930032 4   ;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 5 52 8238837 5  077   9090032 4  
4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 8238837 5  077   9090032 4  
4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 823837 5  077   9090032 4   
4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 823837 5  077   9090032 4   ;47511188313118479 5 52 82318837 5  077   9090032 4
4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 5 52 8238837 5  077   9090032 4  ;4751118313118479 5 52 823837 5  077   9090032 4   ;47511188313118479 5 52 82318837 5  077   9090032 4;4751118313118479 5 52 82318837 5  077   93090032 4
4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 5 52 8238837 5  077   9090032 4  ;47511188313118479 5 52 82318837 5  077   9090032 4;4751118313118479 5 52 82318837 5  077   93090032 4;4751118313118479 5 52 82318837 5  077   9090 02 4 
4751118313118479 5 52 82318837 5  077   9090032 4 ;47511188313118479 5 52 82318837 5  077   9090032 4;4751118313118479 5 52 82318837 5  077   93090032 4;4751118313118479 5 52 82318837 5  077   9090 02 4 ;4751118313118479 85 52  82318837 5  077  9090032 4
4751118313118479 5 52 82318837 5  077   9090032 4 ;47511188313118479 5 52 82318837 5  077   9090032 4;4751118313118479 5 52 82318837 5  077   93090032 4;4751118313118479 5 52 82318837 5  077   9090 02 4 ;4751118313118479 552 8218837 5  077   9090032 4   
4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 5 52 82318837 5  077   93090032 4;4751118313118479 5 52 82318837 5  077   9090 02 4 ;4751118313118479 552 8218837 5  077   9090032 4   ;4751118313118479 5 5 2 82318837 5  077   909003 4 
4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 5 52 82318837 5  077   9090 02 4 ;4751118313118479 552 8218837 5  077   9090032 4   ;4751118313118479 5 5 2 82318837 5  077   909003 4 ;4751118313118479 5 52 823188374 5  0775   9090032 
4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 552 8218837 5  077   9090032 4   ;4751118313118479 5 5 2 82318837 5  077   909003 4 ;4751118313118479 5 52 823188374 5  0775   9090032 ;427519118313118479 5 52 82318837 5  077   9090032 
4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 5 52 823188374 5  0775   9090032 ;427519118313118479 5 52 82318837 5  077   9090032 ;4751118313118479 5 52 82318837 5  077 5  9090032 4
4751118313118479 5 52 82318837 5  077   9090032 4 ;4751118313118479 5 52 823188374 5  0775   9090032 ;427519118313118479 5 52 82318837 5  077   9090032 ;4751118313118479 5 52 82318837 5  077 5  9090032 4;4751118313118479 5 52 8231883 7 5 077   9090032 4 
4751118313118479 5 52 823188374 5  0775   9090032 ;427519118313118479 5 52 82318837 5  077   9090032 ;4751118313118479 5 52 82318837 5  077 5  9090032 4;4751118313118479 5 52 8231883 7 5 077   9090032 4 ;4751118313118479 5 52 823188374 5  00775   9090032
4751118313118479 5 52 823188374 5  0775   9090032 ;427519118313118479 5 52 82318837 5  077   9090032 ;4751118313118479 5 52 82318837 5  077 5  9090032 4;4751118313118479 5 52 8231883 7 5 077   9090032 4 ;4751118313118479 5 52 821 88374 5  775   9090032  
4751118313118479 5 52 823188374 5  0775   9090032 ;427519118313118479 5 52 82318837 5  077   9090032 ;4751118313118479 5 52 82318837 5  077 5  9090032 4;4751118313118479 5 52 821 88374 5  775   9090032  ;4751118313118479 5 52 823188374 5  0775   9090032 
4751118313118479 5 52 823188374 5  0775   9090032 ;4751118313118479 5 52 82318837 5  077 5  9090032 4;4751118313118479 5 52 821 88374 5  775   9090032  ;4751118313118479 5 52 823188374 5  0775   9090032 ;4751118313118479 55 52 823188374 5  0775   9090032
4751118313118479 5 52 823188374 5  0775   9090032 ;4751118313118479 5 52 82318837 5  077 5  9090032 4;4751118313118479 5 52 823188374 5  0775   9090032 ;4751118313118479 55 52 823188374 5  0775   9090032;84751118313118479 55 52 823188374 5  0775   909003
4751118313118479 5 52 823188374 5  0775   9090032 ;4751118313118479 5 52 82318837 5  077 5  9090032 4;4751118313118479 55 52 823188374 5  0775   9090032;84751118313118479 55 52 823188374 5  0775   909003;4751118313118479 5 52 8231388374 5  0775   9090903
4751118313118479 5 52 823188374 5  0775   9090032 ;4751118313118479 55 52 823188374 5  0775   9090032;84751118313118479 55 52 823188374 5  0775   909003;4751118313118479 5 52 8231388374 5  0775   9090903;4751118313118479 5 5 823188374 5  0775   9090 032 
4751118313118479 5 52 823188374 5  0775   9090032 ;84751118313118479 55 52 823188374 5  0775   909003;4751118313118479 5 52 8231388374 5  0775   9090903;4751118313118479 5 5 823188374 5  0775   9090 032 ;4751118313118479 5 52 8231883774 5  0775   9090032
4751118313118479 5 52 823188374 5  0775   9090032 ;84751118313118479 55 52 823188374 5  0775   909003;4751118313118479 5 5 823188374 5  0775   9090 032 ;4751118313118479 5 52 8231883774 5  0775   9090032;4751118331184749 5 52 823188374 5  0775   9090032 
84751118313118479 55 52 823188374 5  0775   909003;4751118313118479 5 5 823188374 5  0775   9090 032 ;4751118313118479 5 52 8231883774 5  0775   9090032;4751118331184749 5 52 823188374 5  0775   9090032 ;8475111833118479 55 52 823188374 5  0775   90903  
84751118313118479 55 52 823188374 5  0775   909003;4751118313118479 5 5 823188374 5  0775   9090 032 ;4751118313118479 5 52 8231883774 5  0775   9090032;8475111833118479 55 52 823188374 5  0775   90903  ;84751118313118479 55 52 823188374 5  0775   909003
84751118313118479 55 52 823188374 5  0775   909003;4751118313118479 5 5 823188374 5  0775   9090 032 ;4751118313118479 5 52 8231883774 5  0775   9090032;84751118313118479 55 52 823188374 5  0775   909003;84751118313118479 55 52 823188374 5  0775   909003
84751118313118479 55 52 823188374 5  0775   909003;4751118313118479 5 5 823188374 5  0775   9090 032 ;84751118313118479 55 52 823188374 5  0775   909003;84751118313118479 55 52 823188374 5  0775   909003;847511118313118479 55 527 823188374 5  0775   9090
84751118313118479 55 52 823188374 5  0775   909003;4751118313118479 5 5 823188374 5  0775   9090 032 ;84751118313118479 55 52 823188374 5  0775   909003;847511118313118479 55 527 823188374 5  0775   9090;84751118313118479 55 52 5823188374 5  07775   9090
4751118313118479 5 5 823188374 5  0775   9090 032 ;84751118313118479 55 52 823188374 5  0775   909003;847511118313118479 55 527 823188374 5  0775   9090;84751118313118479 55 52 5823188374 5  07775   9090;4751118313118479 57 5 823188374 5  0775   97090 03
4751118313118479 5 5 823188374 5  0775   9090 032 ;84751118313118479 55 52 823188374 5  0775   909003;84751118313118479 55 52 5823188374 5  07775   9090;4751118313118479 57 5 823188374 5  0775   97090 03;4751118313118479 5 5 823188374 5  0775   9090 032 
4751118313118479 5 5 823188374 5  0775   9090 032 ;84751118313118479 55 52 823188374 5  0775   909003;84751118313118479 55 52 5823188374 5  07775   9090;4751118313118479 57 5 823188374 5  0775   97090 03;4751118313118479 5 5 82318874 5  0775   9090 032  
84751118313118479 55 52 823188374 5  0775   909003;84751118313118479 55 52 5823188374 5  07775   9090;4751118313118479 57 5 823188374 5  0775   97090 03;4751118313118479 5 5 82318874 5  0775   9090 032  ;84751118313118479 55 52 823188374 5  07775   90900
84751118313118479 55 52 823188374 5  0775   909003;84751118313118479 55 52 5823188374 5  07775   9090;4751118313118479 57 5 823188374 5  0775   97090 03;84751118313118479 55 52 823188374 5  07775   90900;8475511183313118479 55 52 823188374 5  0775   9090
84751118313118479 55 52 5823188374 5  07775   9090;4751118313118479 57 5 823188374 5  0775   97090 03;84751118313118479 55 52 823188374 5  07775   90900;8475511183313118479 55 52 823188374 5  0775   9090;8475411183313118479 55 52 5823188374 5  07775   90
84751118313118479 55 52 5823188374 5  07775   9090;84751118313118479 55 52 823188374 5  07775   90900;8475511183313118479 55 52 823188374 5  0775   9090;8475411183313118479 55 52 5823188374 5  07775   90;8475111831311847955 529 58237188374 5  07775   909
84751118313118479 55 52 5823188374 5  07775   9090;8475511183313118479 55 52 823188374 5  0775   9090;8475411183313118479 55 52 5823188374 5  07775   90;8475111831311847955 529 58237188374 5  07775   909;84751118313118479 55 52 5823188374 5  074775   909
84751118313118479 55 52 5823188374 5  07775   9090;8475411183313118479 55 52 5823188374 5  07775   90;8475111831311847955 529 58237188374 5  07775   909;84751118313118479 55 52 5823188374 5  074775   909;84751118313118479 55 52 58 23188374 5  0775   9090
8475411183313118479 55 52 5823188374 5  07775   90;8475111831311847955 529 58237188374 5  07775   909;84751118313118479 55 52 5823188374 5  074775   909;84751118313118479 55 52 58 23188374 5  0775   9090;847541118333118479 55 52 5823188374 5  07775   90 
8475411183313118479 55 52 5823188374 5  07775   90;84751118313118479 55 52 5823188374 5  074775   909;84751118313118479 55 52 58 23188374 5  0775   9090;847541118333118479 55 52 5823188374 5  07775   90 ;84754111183313118479 55 152 5823188374 5  07775   
8475411183313118479 55 52 5823188374 5  07775   90;84751118313118479 55 52 5823188374 5  074775   909;847541118333118479 55 52 5823188374 5  07775   90 ;84754111183313118479 55 152 5823188374 5  07775   ;8475411183313118479 55 52 58231883374  5  07775   
84751118313118479 55 52 5823188374 5  074775   909;847541118333118479 55 52 5823188374 5  07775   90 ;84754111183313118479 55 152 5823188374 5  07775   ;8475411183313118479 55 52 58231883374  5  07775   ;814751118313118479 55 52 5823188374 5  074775   90
84751118313118479 55 52 5823188374 5  074775   909;847541118333118479 55 52 5823188374 5  07775   90 ;84754111183313118479 55 152 5823188374 5  07775   ;814751118313118479 55 52 5823188374 5  074775   90;87511183131184793 55 52 5823188374 5  074775   909
84751118313118479 55 52 5823188374 5  074775   909;84754111183313118479 55 152 5823188374 5  07775   ;814751118313118479 55 52 5823188374 5  074775   90;87511183131184793 55 52 5823188374 5  074775   909;84751118313118479 55 52 5823188374 5  074775   909
84754111183313118479 55 152 5823188374 5  07775   ;814751118313118479 55 52 5823188374 5  074775   90;87511183131184793 55 52 5823188374 5  074775   909;84751118313118479 55 52 5823188374 5  074775   909;84754111183313118479 55 152 58231818374 5  07775  
814751118313118479 55 52 5823188374 5  074775   90;87511183131184793 55 52 5823188374 5  074775   909;84751118313118479 55 52 5823188374 5  074775   909;84754111183313118479 55 152 58231818374 5  07775  ;81475111813118479 55 52 5823188374 5  074775   90 
814751118313118479 55 52 5823188374 5  074775   90;87511183131184793 55 52 5823188374 5  074775   909;84751118313118479 55 52 5823188374 5  074775   909;84754111183313118479 55 152 58231818374 5  07775  ;8147511118313118479 55 52 5823188374 5  074775   9
814751118313118479 55 52 5823188374 5  074775   90;84751118313118479 55 52 5823188374 5  074775   909;84754111183313118479 55 152 58231818374 5  07775  ;8147511118313118479 55 52 5823188374 5  074775   9;814751118313118247 55 52 5823188374 5  074775   90
814751118313118479 55 52 5823188374 5  074775   90;84751118313118479 55 52 5823188374 5  074775   909;8147511118313118479 55 52 5823188374 5  074775   9;814751118313118247 55 52 5823188374 5  074775   90;814751118313118479 55 52 5823188374  5  074775   9
84751118313118479 55 52 5823188374 5  074775   909;8147511118313118479 55 52 5823188374 5  074775   9;814751118313118247 55 52 5823188374 5  074775   90;814751118313118479 55 52 5823188374  5  074775   9;84751118313118479 55 52 5823188374 5  074775   909
84751118313118479 55 52 5823188374 5  074775   909;814751118313118247 55 52 5823188374 5  074775   90;814751118313118479 55 52 5823188374  5  074775   9;84751118313118479 55 52 5823188374 5  074775   909;847511118313118479 55 52 5823188374 5  07477 5   9
84751118313118479 55 52 5823188374 5  074775   909;814751118313118247 55 52 5823188374 5  074775   90;84751118313118479 55 52 5823188374 5  074775   909;847511118313118479 55 52 5823188374 5  07477 5   9;847511183131847 55 52 58231188374 5  074775   909 
84751118313118479 55 52 5823188374 5  074775   909;814751118313118247 55 52 5823188374 5  074775   90;847511118313118479 55 52 5823188374 5  07477 5   9;847511183131847 55 52 58231188374 5  074775   909 ;847511183131118479 55 52 5823188374 5  0747775   9
84751118313118479 55 52 5823188374 5  074775   909;814751118313118247 55 52 5823188374 5  074775   90;847511118313118479 55 52 5823188374 5  07477 5   9;847511183131118479 55 52 5823188374 5  0747775   9;8475111831311879 55 52 58223188374 5  074775   909
814751118313118247 55 52 5823188374 5  074775   90;847511118313118479 55 52 5823188374 5  07477 5   9;847511183131118479 55 52 5823188374 5  0747775   9;8475111831311879 55 52 58223188374 5  074775   909;814751118313118247 55 52 5823188374 5  074775  3 9
814751118313118247 55 52 5823188374 5  074775   90;847511118313118479 55 52 5823188374 5  07477 5   9;8475111831311879 55 52 58223188374 5  074775   909;814751118313118247 55 52 5823188374 5  074775  3 9;8147511183193118247 55 52 5823188374 5  074775  90
847511118313118479 55 52 5823188374 5  07477 5   9;8475111831311879 55 52 58223188374 5  074775   909;814751118313118247 55 52 5823188374 5  074775  3 9;8147511183193118247 55 52 5823188374 5  074775  90;7847511118313118479 55 52 58223188374 5  076477 5 
847511118313118479 55 52 5823188374 5  07477 5   9;814751118313118247 55 52 5823188374 5  074775  3 9;8147511183193118247 55 52 5823188374 5  074775  90;7847511118313118479 55 52 58223188374 5  076477 5 ;847511118313118479 55 52 5823188374 5  074577 5   
847511118313118479 55 52 5823188374 5  07477 5   9;8147511183193118247 55 52 5823188374 5  074775  90;7847511118313118479 55 52 58223188374 5  076477 5 ;847511118313118479 55 52 5823188374 5  074577 5   ;847511118313118479 55 52 5823188374 5  07477 5   9
847511118313118479 55 52 5823188374 5  07477 5   9;7847511118313118479 55 52 58223188374 5  076477 5 ;847511118313118479 55 52 5823188374 5  074577 5   ;847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 5823188374 5  07477 5    
847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 5823188374 5  074577 5   ;847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 5823188374 5  07477 5    ;847511118313118479 55 52 582318837 4 5   07477 5  
847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 5823188374 5  07477 5    ;847511118313118479 55 52 582318837 4 5   07477 5  ;8475111183131118479 55 52 5823188374 5  07477 5  9
847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 5823188374 5  07477 5    ;847511118313118479 55 52 582318837 4 5   07477 5  ;8475111183131118479 55 52 5823188374 5  07477 5  9;8476511118313118 479 5 52 5823188374 5  07477 5   
847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 582318837 4 5   07477 5  ;8475111183131118479 55 52 5823188374 5  07477 5  9;8476511118313118 479 5 52 5823188374 5  07477 5   ;8475131118313118479 55 52 5823188374 5  07477 5   
847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 582318837 4 5   07477 5  ;8475111183131118479 55 52 5823188374 5  07477 5  9;8476511118313118 479 5 52 5823188374 5  07477 5   ;847511118313118479 55 52 823188374 5  07477 5  9 9
847511118313118479 55 52 5823188374 5  07477 5   9;8475111183131118479 55 52 5823188374 5  07477 5  9;8476511118313118 479 5 52 5823188374 5  07477 5   ;847511118313118479 55 52 823188374 5  07477 5  9 9;8475911118313118479 55 52 57823188374 5  07477 5  
847511118313118479 55 52 5823188374 5  07477 5   9;8476511118313118 479 5 52 5823188374 5  07477 5   ;847511118313118479 55 52 823188374 5  07477 5  9 9;8475911118313118479 55 52 57823188374 5  07477 5  ;8475111183131184779 55 52 5823188374 5  07477 5   
847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 823188374 5  07477 5  9 9;8475911118313118479 55 52 57823188374 5  07477 5  ;8475111183131184779 55 52 5823188374 5  07477 5   ;847511118313118479 55 522 5823188374 5  076477 5  
847511118313118479 55 52 5823188374 5  07477 5   9;8475911118313118479 55 52 57823188374 5  07477 5  ;8475111183131184779 55 52 5823188374 5  07477 5   ;847511118313118479 55 522 5823188374 5  076477 5  ;847511118313118479 55 52 58231883794 5  07477 5   
847511118313118479 55 52 5823188374 5  07477 5   9;8475111183131184779 55 52 5823188374 5  07477 5   ;847511118313118479 55 522 5823188374 5  076477 5  ;847511118313118479 55 52 58231883794 5  07477 5   ;847511118313118479 55 152 582318 8374 5  074775 5 
847511118313118479 55 52 5823188374 5  07477 5   9;8475111183131184779 55 52 5823188374 5  07477 5   ;847511118313118479 55 522 5823188374 5  076477 5  ;847511118313118479 55 152 582318 8374 5  074775 5 ;84751118313118479 55 52 58231880374 5  07477 5   9
847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 522 5823188374 5  076477 5  ;847511118313118479 55 152 582318 8374 5  074775 5 ;84751118313118479 55 52 58231880374 5  07477 5   9;847511118313118479 55 52 5823188374 5  07477 5   9
847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 522 5823188374 5  076477 5  ;84751118313118479 55 52 58231880374 5  07477 5   9;847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 5823188374 5  07477 5   9
847511118313118479 55 522 5823188374 5  076477 5  ;84751118313118479 55 52 58231880374 5  07477 5   9;847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55 52 5823188374 5  07477 5   9;847511118313118479 55522 5823188374 5  0726477 5  
