;;
    3                                             ;                                         6        ;    3                                             
       1                                          ;    3                                             ;    3                                             
                                                  ;    3                                             ;    3                                             
    339         18              9 4 0             ;    332 3           8     3      59  9  9         ;    332 3           8     3      59  9  9         
    332 3           8     3      9  9  0          ;     33 3           8    3      9  9  0           ;    332 3           8     3      9  9  0          
    33 39           8    3      9  9              ;    33    3               7         35       2    ;    33 39           8    3      9  9              
    33    3             7       9 35       2      ;   33  2       7      9  3 8  0            2      ;    33    3             7       9 35       2      
    33  2       7      9  3 8             2       ;   33  2                3 8    5           2      ;    33  2       7      9  3 8             2       
   33  2                3 8                  3    ;     33    0        7  1  3  6             3      ;   33  2                3 8                  3    
    33            7  1  3  6             3   3  0 ;   33                 63  62             3      2 ;    33            7  1  3  6             3   3  0 
   33                 63  6            3      2   ;   339              5  3       9 4 0              ;   33                 63  6            3      2   
    339              5  3        9 4 0            ;    339               5  3       9 4 0         9  ;    339               5  3       9 4 0         9  
    339              5  3      9 4 0              ;   4 332 3            8     3      59  9  9       ;   4 332 3            8     3      59  9  9       
    332 3           8     3      59  9  9         ;    332 3           8     3      9   9  0         ;    332 3           8     3      9   9  0         
    332 3           8     3      99 9  0          ;    3 39           8    3     3 9  9              ;    332 3           8     3      99 9  0          
    33 39           8    3     9  9               ;    33    3             7       9 35       2      ;    33    3             7       9 35       2      
    33    3             7       9 35       2      ;    033  2       7     9  3 8             2       ;    33    3             7       9 35       2      
    33  2       7   1   9  3 8             2      ;   33  2                33 8                   3  ;    33  2       7   1   9  3 8             2      
   33  2                 3 8                  3   ;    33            7  1  13  6         4    3   3  ;    33            7  1  13  6         4    3   3  
    33            7  1   3  6             3   3  0;   33                 63 6            3      2    ;    33            7  1   3  6             3   3  0
 7  33                 63  6            3      2  ;    339               5        5 9 4 0         9  ;    339               5        5 9 4 0         9  
    339               5  3        9 4 0         9 ;   4 332 33            8     3      59  9  9      ;    339               5  3        9 4 0         9 
   4 332 3            8     3      59  90  9      ;    332 3            8     3      98   9  0       ;    332 3            8     3      98   9  0       
   0 332 3           8     3      9  9  0         ;    332 3          8     3      999 9  0          ;    332 3          8     3      999 9  0          
    3323           8     3      99 9  0           ;    33                 7       9 35        2      ;    3323           8     3      99 9  0           
    33    3             7 6      9 735       2    ;    33    3             7       9 358       2     ;    33    3             7       9 358       2     
    33   3       9      7       9 35       2      ;    33  2      7   1   9  3 8    7         2      ;    33   3       9      7       9 35       2      
    33  2       7   1   9  3 8             2      ;    33            7  1  13  6         4     3   3 ;    33            7  1  13  6         4     3   3 
    33            7  1  13  6         4    3   3  ;    33            7  1   3  6            3   3  0 ;    33            7  1   3  6            3   3  0 
    33            7  1   3  6              3   3  ;    339               5    0    5 9 4 0          9;    33            7  1   3  6              3   3  
    339       8        5        5 9 4 0          9;    339               5  3        9 4  0        9 ;    339       8        5        5 9 4 0          9
    33 9                5  3        9 4 0         ;6    332 3            8 5    3      98   9  0     ;    33 9                5  3        9 4 0         
    332 3            8     3       98   9  0      ;    332 3          8     73      999 9  0         ;    332 3            8     3       98   9  0      
    332 3          8    3   9   999 9  0          ;    3323           8     3      99 9  0           ;    3323           8     3      99 9  0           
    3323           8     3      9  9  0           ;    33    3             7       9 358      2      ;    3323           8     3      9  9  0           
    33    3             7       9 358      2      ;    33   3       9      7       9 35              ;    33   3       9      7       9 35              
     33   3       9      7       9 35       2     ;    33            7  1  13   6         4     3   3;    33            7  1  13   6         4     3   3
    33            7  1  713  66         4     3   ;    33  9          7 1   3  6            3   3  0 ;    33  9          7 1   3  6            3   3  0 
    33             7   1   3  96            3   3 ;    33           7  1   3  6              3   3   ;    33           7  1   3  6              3   3   
    33     7      7  1   3  6              3   3  ;     339       8        5        5 9 4 0       5  ;    33     7      7  1   3  6              3   3  
    339     8  8        5        5 9 4 0       4  ;    633 9                5 3        9 4 0         ;    339     8  8        5        5 9 4 0       4  
    33 9            9    5  3        9 4 0        ;    332 30            8     3       98    9  0    ;    33 9            9    5  3        9 4 0        
    332 3           8     3       898   9  0      ;    3323           8    1 3      99 9  0          ;    332 3           8     3       898   9  0      
    3323           8     3      99 9  0           ;    3323           8  7   3      9  9  0          ;    3323           8     3      99 9  0           
    3323           8     3      9  99  0          ;    33   3       9   1   7       9 35     48      ;    3323           8     3      9  99  0          
    33   3       9      7       9 35              ;    33     1       7  1  813   6         4     3  ;    33   3       9      7       9 35              
    33    0        7  1  13   6         4     3   ;    33 9          7 1 0  3  6            3   3  0 ;    33    0        7  1  13   6         4     3   
    33  9          7 1   3  6           3   3  0  ;    33           7  1   3  66     0         3   3 ;    33  9          7 1   3  6           3   3  0  
    33           7  1   3  6              3  3    ;    33     7      7  1   3  6              33   3 ;    33           7  1   3  6              3  3    
    33     7      7  1   3  6               3   3 ;    339     8  8        5        5 9 4 0       4  ;    339     8  8        5        5 9 4 0       4  
    339     8  8        5        5 9  4 0       4 ;    33 9            9    5  3        9 4 0        ;    33 9            9    5  3        9 4 0        
    33 9             9    5  3        9 4 0       ;    332 3           8      3       89   9  0      ;    33 9             9    5  3        9 4 0       
    332 3           8     3       898   9  0     3;   3323           8     3      99 9  0            ;    332 3           8     3       898   9  0     3
    3323           8     3      99  9  0          ;  0  3323           8     3      9  99  0  8      ;    3323           8     3      99  9  0          
    3323           8     3      9  99  0          ;    33  3     8   9      7       9 35             ;    33  3     8   9      7       9 35             
    33   3              7       9 35              ;    33    0        7  13  103   6         4     3 ;    33   3              7       9 35              
    33    0        7  1  13   6         4     3   ;    33   9          7 1   3  6           3   3  0 ;    33   9          7 1   3  6           3   3  0 
    33  9          7 1   3  6            3   3  0 ;    33           7  1   3  6              3  3    ;    33  9          7 1   3  6            3   3  0 
    332            7  1   3  6              3  3  ;    9339      8  8        5        55 9 4 0       ;    332            7  1   3  6              3  3  
    339     8  8        5       5 5 9 4 0       4 ;    33 9 5           9    5  3        9 4 0       ;    339     8  8        5       5 5 9 4 0       4 
    33 9            9    5  3        9 4 0        ;    33 9             9    5  3        9  0        ;    33 9             9    5  3        9  0        
    33 9            9    57  3        9 4 0       ;    3321 3           8     3       898   9  0 6   ;    33 9            9    57  3        9 4 0       
    332 3           8     3       898   9  0     3;    3323           8  6  3 6     99  9  0         ;    3323           8  6  3 6     99  9  0         
    3323           8     3      99  9  0          ;    33  3     83    9      7       9 35           ;    3323           8     3      99  9  0          
    33  3     8   9      87       95 35           ;    33   3              7       9 35              ;    33  3     8   9      87       95 35           
    3   3              7       9 35        9      ;    33   9        6  7 1   3  6          3   3  0 ;    33   9        6  7 1   3  6          3   3  0 
    33   9         7 1   3  46           3   3  60;    33  9     4    7 1   3  6            3   3  0 ;    33   9         7 1   3  46           3   3  60
    33  9          7 1   3  61            53   3  ;    332    7        7  1   3  6       7       3  3;    332    7        7  1   3  6       7       3  3
    332            7  1   3  6              83  3 ;    339    8  8 9       5       5 5 9 4 0       4 ;    332            7  1   3  6              83  3 
    339  1   8  8        5       5 5 9 04 0       ;    33 9            9    5  3   2     92  0       ;    33 9            9    5  3   2     92  0       
    33 9    5         9    5  3        9  0       ;     33 9            9    557  3        9 4 0     ;    33 9    5         9    5  3        9  0       
     33 9             9    57  3        9 4 0     ;    3323           8  6  3 16     99  9  0        ;     33 9             9    57  3        9 4 0     
    3323     6      8  6   3 6     99  9  0       ;    3323           8     3     99  9  0           ;    3323           8     3     99  9  0           
    332           8     3     99  9  0            ;    33  3     8   9      87       95 35           ;    332           8     3     99  9  0            
    33  3     8   9      87       95 35           ;    33   9       3 6  7 1   3  6          3   3  0;    33  3     8   9      87       95 35           
    33    9        6  7 1   3 6          3   3  70;    33   9         7 1   3  46           3 1  3  6;    33    9        6  7 1   3 6          3   3  70
    33 2  9         7 1   3  46           3   93  ;    3 32    7        7  1   3         7       3  3;    33 2  9         7 1   3  46           3   93  
    332    7        7  1   3  6       7       3  3;    332            7  1   3 6             83  3   ;    332    7        7  1   3  6       7       3  3
    332           7  1   3  6         4     83  3 ;    33 9       7     9     5  3   2     92  0     ;    33 9       7     9     5  3   2     92  0     
    33 9            9    5  3   2     92  0       ;    33 9    5   60 1     9    5  3        9  0    ;    33 9    5   60 1     9    5  3        9  0    
    33 9    5         9  9  5  3        9  0      ;     33 9             9    57  3        9 4 0   9 ;    33 9    5         9  9  5  3        9  0      
     33 9             9    57          9 4 0      ;    3323           8     3     99  9  0 6         ;    3323           8     3     99  9  0 6         
    3323           8     3     99   9  0          ;    332    5       8     3     99  9  0           ;    3323           8     3     99   9  0          
    332           8     3   0  99  9  0           ;    33  3   0  8   94      87       95 35         ;    332           8     3   0  99  9  0           
