;;    4
548 02 488000000044  7  5277   444;5  8 02 64800000044   277  527   44;548 02 488000000044  7  5277   444
5  8 02 64800000044   7  3527  44;58 02488000464     528327   444;58 02488000464     528327   444
5 8 0248000464    4 528327   444;5 8 50248000464     5227    6444;5 8 0248000464    4 528327   444
59 8 0248000464     5227    4544;8833022000 2 47 522370 84;8833022000 2 47 522370 84
833022000 2 47 522230 844;80200 478 552562574 97 884;833022000 2 47 522230 844
802200 478 552562574 7 884;8802200 24783 552256274 7 884;8802200 24783 552256274 7 884
802200 4783 5522562274 7 88 4;866622000  427  5 55627 3  3 44 4;802200 4783 5522562274 7 88 4
866600  27  5 556 7 3  3 44 4;5 8 02400000443 7 57    444;5 8 02400000443 7 57    444
5 8 0240000044 7 57    444;85 80240 00044 97  57    444;85 80240 00044 97  57    444
55 80240 00044 97  57    444;548 02 488000000044  7  5277   444;55 80240 00044 97  57    444
548 02 4880500000044  7  5277   0444;58 02488000464     528327   444;58 02488000464     528327   444
58 024288000464     53283327   444;5 8 0248000464     4 528327   444;58 024288000464     53283327   444
5 8 02648000046    4 528327   444;8833022000 2 47 522370 84;5 8 02648000046    4 528327   444
88393022000 2 47 5222370 84;833022000 2 47 5252230 844;833022000 2 47 5252230 844
833022000 2 47 522230 844;802200  24783 55225627 7 884;802200  24783 55225627 7 884
8800200 24783 552256274 7 884;8022300 47833 5522562274 77 88 4;8800200 24783 552256274 7 884
802200 4783 535225623274 7 88 4;5 8 02400000443 7 57    444;802200 4783 535225623274 7 88 4
5 8 024000000443 7 57    444;85 802430 00044 97  57    444;85 802430 00044 97  57    444
85 80240 00044 9  57    444;55 8700240 000444 97  57    444;85 80240 00044 9  57    444
55 80240 00044 975  57     444;585 024880900464     5283272 6  444;55 80240 00044 975  57     444
58 0724880004 64     52837   444;58 024288000464     532833327   444;58 0724880004 64     52837   444
58  0242488000464  7   53283327   444;5 8 026 480000 46    4 5283278 3  444;5 8 026 480000 46    4 5283278 3  444
5 8 02648000 046    4  528327   444;0833022000 2 47 5252230  844;5 8 02648000 046    4  528327   444
833022000 2  47 5252230 844;802200  24783 5522527 7 884;833022000 2  47 5252230 844
802200  24783 55225627 7 88 4;8800200 24783 552256874 7 884;8800200 24783 552256874 7 884
800200 24783 552256274 7 884;802200 47883 53528256232704 7 88 4;802200 47883 53528256232704 7 88 4
802200 45783 5352256 23274 7 88 4;85 8024306 00044 97 57    444;802200 45783 5352256 23274 7 88 4
85 802 43000044 97  57    444;85 80240 000444 9  57    444;85 802 43000044 97  57    444
5 80240 00044 69  537    444;55 80240 200044 975  57     444;5 80240 00044 69  537    444
55 802540 00044975  577     444;58 0724880004 064     52837    444;55 802540 00044975  577     444
580 07224880004 64     52837   444;5 8 026 480000 946    4 28327 3  444;5 8 026 480000 946    4 28327 3  444
5 8 0226 4805000 46    4 5283278 3 444;5 8 02648000 04 6 5   4  528327   444;5 8 02648000 04 6 5   4  528327   444
5 8 5026548000 08464    4  528327   444;8333022000 2  7 5252230 844;8333022000 2  7 5252230 844
833022000 2 47 57252230 844;8800200 244783 5552256874 7 84;8800200 244783 5552256874 7 84
8800200 2783 5522356874 7 884;802200 447883 535282562327904 7 88 4;8800200 2783 5522356874 7 884
8022060 473883 53528256232704 7 88 4;882200 45 783 5352256 23274 7 884;8022060 473883 53528256232704 7 88 4
802200 45783 535225 6 23274 7 88 4;85 802 43000044  597  537    444;802200 45783 535225 6 23274 7 88 4
85 802 43000044 97  57    444;5 8024000044 69  537    2444;85 802 43000044 97  57    444
5 80240 0004 69  37   444;55 802540 00448975   577     444;5 80240 0004 69  37   444
55 80540 00044975  577     444;5 8 026 480000 946    4 28327 3  444;55 80540 00044975  577     444
5 8 0264 4080000 946    4 28327 3  444;5 80 2648000 04 6 5   4  52832   444;5 80 2648000 04 6 5   4  52832   444
05 8 02648000 04 6 5  4  528327   444;8333022000 2  7 52522730 2844;05 8 02648000 04 6 5  4  528327   444
8333022000 2  7 5222300 844;8800200 2447883 55522256874 7 84;8800200 2447883 55522256874 7 84
88000200 2344783 55522756874 76 84;88002200 27283 5522356874 7 884;88002200 27283 5522356874 7 884
8800200 2783 5522356874 7 884;8022060 473883 53528256232704 7 88 4;8800200 2783 5522356874 7 884
8022060 4703883 53528256232704 7 88 4;802200  45783 53225 6 23274 7 88 4;8022060 4703883 53528256232704 7 88 4
802200 457483 53525 46 23274 7 88 4;85 802 43000044 97  577   444;85 802 43000044 97  577   444
85 6802 43000044 97  57    444;5 80240 0004 69  37   444;5 80240 0004 69  37   444
5 80240 0004 69  37 5  444;55 80540 000044975  577     4404;5 80240 0004 69  37 5  444
55 80540 00044975 5577     444;5 80 2648000 04 6 5   4  8528342   444;5 80 2648000 04 6 5   4  8528342   444
5 80 26498000 04 6 5    4  52832   444;05 8 02648000 04 6  5   4  528327   444;5 80 26498000 04 6 5    4  52832   444
05 8 022648000 04 26 5  4  528327   44 4;8800200 24457883 5552225  6874 784;05 8 022648000 04 26 5  4  528327   44 4
880000 244883 55522256874 7 84;88002200 27283 552256874 7 884;880000 244883 55522256874 7 84
880022007 27283 5223956874 7 8844;88040200 25783 5522356874 7 8864;880022007 27283 5223956874 7 8844
86800200 2783 5522356874 27 884;80292060 4703883 535282562327704 7 858 4;86800200 2783 5522356874 27 884
8022060 4703883 5352825623270 7 788 4;855 802 43000044 97  55577   444;8022060 4703883 5352825623270 7 788 4
85 8002 43000044 97  577   4444;5 80240 0004 6  37   444;5 80240 0004 6  37   444
5 802240 0004 69  37  444;5 80240 0004 669  37 5  444;5 80240 0004 669  37 5  444
5  8024 0 00 04 69  37 5  444;5 80 2648000 04 6 5   4 4 8528342   444;5 80 2648000 04 6 5   4 4 8528342   444
5 80 2648000 04 6 5   4  8528342 6  444;5  80 264928000 04 6 5    4   52832   444;5 80 2648000 04 6 5   4  8528342 6  444
580 264980 00 04 6 5    4  52832   444;055 8 022648000 04 26 5  4  528327   44 4;055 8 022648000 04 26 5  4  528327   44 4
05  8 022648000 04 26 5  4  52827   44 4;880000244883 555224256874 7 84;880000244883 555224256874 7 84
880000 244883 55522256874 7 84;8800822007 27283 52239568724 7 8844;880000 244883 55522256874 7 84
8800220407 27283 522396874 7 8844;8680 0200 27983 5522356874 273 884;8800220407 27283 522396874 7 8844
868002060 2783 5522356874 27 884;8022060 4703883 5352825623270 77 788 4;8022060 4703883 5352825623270 77 788 4
8022060 4703883 535282562 270 7 7878 4;5 80240 70004 6  3   444;8022060 4703883 535282562 270 7 7878 4
5 80240 00064 6 8 37   444;5 840240 0004 669  37 65  444;5 840240 0004 669  37 65  444
5 8024 0 90004 669  37 5  444;5 80  2648000 04 6 5   4 8528342   444;5 8024 0 90004 669  37 5  444
