2                                  9              ;2                                   9       0     ;DRAW - timeout
2                                                 ;2                                       8 9 0     ;DRAW - timeout
22                                                ;2                                         0       ;DRAW - timeout
2                                                 ;2                                         0       ;DRAW - EveryoneDied
2                                                 ;2                0               3          0     ;2                                                 
2                   8                    0   0    ;2  3                    0                       5 ;2  3                    0                       5 
2  3                     0                       6;2  3                   3                5         ;2  3                   3                5         
2    3                                            ;2                                            9    ;2    3                                            
2                   1                        9    ;2                9                           9    ;DRAW - EveryoneDied
2                                            9    ;2                 9        6                   9  ;DRAW - timeout
2                                           9     ;2                  9                            9 ;2                  9                            9 
2                91                           9   ;2       9   5  0                                  ;DRAW - timeout
2                 9                  5         9  ;2             0                                   ;DRAW - timeout
2    0             9                           9  ;2             0                                 1 ;DRAW - timeout
2                 9                           9   ;2             0                                   ;2             0                                   
2  6          0                                   ;2   3           23  7            2   9  91        ;2   3           23  7            2   9  91        
2   3           3              2   9  91          ;2   3           4               2   9  91         ;2   3           4               2   9  91         
2   3           6               2    9  91        ;2   7   5       6        0                      8 ;2   3           6               2    9  91        
2   7   5       6        0                       8;2   7   5                 5       9               ;2   7   5                 5       9               
2   7   5                   5        9            ;2                           6                     ;2   7   5                   5        9            
2         9                                  8    ; 2       0          8             7    6          ; 2       0          8             7    6          
 2       0      4                7     6          ;2                 0                               ;DRAW - timeout
 2        0                     7     6           ;2                 0     7                         ;DRAW - EveryoneDied
 2       0                       7     6          ;2                 0                               ; 2       0                       7     6          
2                  0        5                     ;2               0                                 ;2               0                                 
2                                                 ;2         2                                   8   ;2                                                 
2                                                 ;2  3                     0                       5;2  3                     0                       5
2  3                   0                      5 1 ;2  3                   3                5         ;2  3                   3                5         
2  3                   3                5         ;2    3                                            ;2    3                                            
2    3                                            ;2                 9                2            9 ;2    3                                            
2                  9               5             9;2             0                                   ;DRAW - timeout
21                  9                            9;2  4           0                                  ;DRAW - timeout
2                  9             4               9;2             0                   8               ;DRAW - timeout
2                 0 9                       0     ;2             0                                   ;DRAW - EveryoneDied
2                  9                              ;2             0                                  2;DRAW - timeout
2                  9                           97 ;2     4         0                                 ;DRAW - timeout
2                  9                           9  ;2             0                                   ;2                  9                           9  
2             0                                   ;2   3           263  7            2   95  91      ;2   3           263  7            2   95  91      
2   3           23  7            2    9  91       ;2   3           4               2  2 9  91        ;2   3           4               2  2 9  91        
2   3       9    4               2   9  91        ;2  3           6               2    9  91         ;2   3       9    4               2   9  91        
2   3          6               2 1   59  91       ;2   7   5                 5       9               ;2   3          6               2 1   59  91       
2   7   5        6         75       39            ;2   7 1  5                   5        9 9         ;2   7 1  5                   5        9 9         
2   7  0 5                   5        9           ; 2      0          8             7    68          ;DRAW - timeout
2   7   5                   5        9      7     ; 2       00          8             7    6         ;DRAW - timeout
2   7   5                  2  5        9          ; 2       0           8             7    6         ;DRAW - timeout
2   7   5    8             4  5       9           ; 2      0          8            7    6          9 ;DRAW - timeout
2   7   5                   5        9            ; 2   4    0           8             7    6        ;2   7   5                   5        9            
 2       0          8             7    6          ; 2       0                       7     6          ;DRAW - timeout
 2       0          8             7    6          ; 2      0          3             7     6          ;DRAW - timeout
 2       0          8              7    6         ; 2       0                       7      6         ;DRAW - timeout
 2       0           8             7    6         ; 2       0                        7     6         ;DRAW - timeout
 2       0          8           5  79    6        ; 2       0                       7     6          ;DRAW - timeout
 2       0                        7    6          ; 24     0  0                       7     6        ;DRAW - timeout
